text,clean_text,label,mentions_dem,mentions_rep
CNN chief says Brazile’s leaks to Clinton camp were ‘disgusting’ - @DonnaBrazile = EXTRA   https://t.co/AskZeau8Vt   https://t.co/lS8Ia70KI9,cnn chief says brazile s leaks to clinton camp were  disgusting  -  donnabrazile   extra      ,Democrat,['Clinton'],[]
Hillary Clinton Leads Donald Trump by 4 Points in Latest Poll - The Wall Street Journal    https://t.co/We8QlCaseR,hillary clinton leads donald trump by 4 points in latest poll - the wall street journal    ,Democrat,"['Clinton', 'Hillary', 'Hillary']","['Trump', 'Donald']"
Vote for Mama     ,vote for mama     ,Democrat,['hillary'],[]
"Bertram, the wizard, insists that Trump is a roaster. ","bertram, the wizard, insists that trump is a roaster. ",Democrat,[],"['Trump', 'Trump']"
Vladimir Putin (like the KKK's David Duke) publicly praised Teleprompter Trump   ,vladimir putin  like the kkk s david duke  publicly praised teleprompter trump   ,Democrat,[],"['Trump', 'Trump']"
Get out and vote.     https://t.co/v8AJxjaPRp,get out and vote.     ,Democrat,[],['Trump']
 , ,Democrat,[],[]
"On  ""he has debased our political dialog"" THAT says it all &amp; so much more could be said.  TY ",on   he has debased our political dialog  that says it all and; so much more could be said.  ty ,Democrat,[],"['Trump', 'Trump', 'GOP']"
           @realDonaldTrump @HillaryClinton  https://t.co/UdpzRFWw4e,            realdonaldtrump  hillaryclinton  ,Democrat,"['Clinton', 'Hillary', 'dnc']","['trump', 'trump', 'Trump', 'Donald', 'rnc', 'gop']"
Republicans Terrified As Latino Voter Turnout Skyrockets To Stop Trump via @politicususa https://t.co/Weickfshbg  ,republicans terrified as latino voter turnout skyrockets to stop trump via  politicususa   ,Democrat,[],"['Trump', 'Republicans', 'Republican']"
This has been one of Dirtiest Election on a woman. Trump has a Rape case. HillaryClinton has nothing to hide. ,this has been one of dirtiest election on a woman. trump has a rape case. hillaryclinton has nothing to hide. ,Democrat,"['Clinton', 'Hillary']",['Trump']
"""There he is...Asshat extraordinaire.""-my mom just now when a video showed Trump on @MSNBC   ", there he is...asshat extraordinaire. -my mom just now when a video showed trump on  msnbc   ,Democrat,[],"['Trump', 'Trump']"
 I'll be watching this years election results the same way I did here: in a bar.  https://t.co/q2h9ofsVIt, i ll be watching this years election results the same way i did here: in a bar.  ,Democrat,[],[]
We're with @HilaryClinton for the Presidential elections.  https://t.co/Vkodj0Bfjc,we re with  hilaryclinton for the presidential elections.  ,Democrat,['Clinton'],[]
WE NEED PEACE AND EQUALITY..WE NEED   💜💙💚💛❤️☮,we need peace and equality..we need          ,Democrat,['Clinton'],[]
 we are on the train not watching it! - The ‘Trump Train’ is a train wreck |    https://t.co/xj2xrybHBD, we are on the train not watching it  - the  trump train  is a train wreck      ,Democrat,[],"['Trump', 'Trump']"
Republican regulations...make as much sense as Donald Trump babysitting an all girl teen sleepover  https://t.co/K7WKK8T42Z,republican regulations...make as much sense as donald trump babysitting an all girl teen sleepover  ,Democrat,[],"['Trump', 'Trump', 'Donald', 'Republican']"
"Fox regular David Clarke sinks to a new low with this claim
      https://t.co/UWXg6ZsFo9",fox regular david clarke sinks to a new low with this claim       ,Democrat,['Hillary'],[]
Steady crowd marks Election Day at Susan B. Anthony's grave @HillaryClinton     https://t.co/nL5RgBXaSF,steady crowd marks election day at susan b. anthony s grave  hillaryclinton     ,Democrat,"['Clinton', 'Hillary']",[]
"Women have the power to stop Trump.   

https://t.co/t0KaEDIR6J https://t.co/voy5whe1we",women have the power to stop trump.      ,Democrat,['Hillary'],"['Trump', 'Trump']"
Trump Falsely Attacks Obama For 'Screaming' At Protester  https://t.co/jtwgquQIP0,trump falsely attacks obama for  screaming  at protester  ,Democrat,['Obama'],"['Trump', 'Trump']"
If you find yourself voting for the lesser of two evils than you haven't really done your research  ,if you find yourself voting for the lesser of two evils than you haven t really done your research  ,Democrat,[],[]
      https://t.co/tsjNyegWkU,      ,Democrat,[],"['Trump', 'Trump']"
"""...write me down in history...With your bitter, twisted lies,trod me in the very dirt,But still, like dust, I'll rise."""," ...write me down in history...with your bitter, twisted lies,trod me in the very dirt,but still, like dust, i ll rise. ",Democrat,[],[]
VOTE!!! https://t.co/GJ0veA6Fru ,vote     ,Democrat,[],[]
"What  and his ignorant, filthy mob did to Austyn Crites, is only the beginning folks.

They're just getting warmed up.

","what  and his ignorant, filthy mob did to austyn crites, is only the beginning folks.  they re just getting warmed up.  ",Democrat,[],['Trump']
"Calling out all  people.  Do not understand you, whether you like Trump or not, you also get Mike Pense? https://t.co/K6IRxfrs25","calling out all  people.  do not understand you, whether you like trump or not, you also get mike pense  ",Democrat,[],"['trump', 'Trump']"
Inside the  video game that was built to defeat  https://t.co/hmr3fbdcFd   ,inside the  video game that was built to defeat     ,Democrat,[],"['Trump', 'Trump', 'Trump', 'Donald']"
"Today is a big day for the sticker industry. 
     ",today is a big day for the sticker industry.       ,Democrat,[],[]
" biggest con of all time. Duping stupid conservatives!
  
 
https://t.co/kf6l3EFZ7Y", biggest con of all time. duping stupid conservatives       ,Democrat,[],"['trump', 'TRUMP']"
" Come on Kelly Anne, you know exactly what kind of people often show up at those Trump rallies. You know, Chuck knows. "," come on kelly anne, you know exactly what kind of people often show up at those trump rallies. you know, chuck knows. ",Democrat,[],"['Trump', 'trump']"
Searing. Goodbye to all that: I'm done with Election 2016 https://t.co/BCeb97kY9n via @globalcomment ,searing. goodbye to all that: i m done with election 2016  via  globalcomment ,Democrat,[],[]
"When someone tries to blame  for Trump losing, just remind them that  doesn't exist at the polls, but in our hearts","when someone tries to blame  for trump losing, just remind them that  doesn t exist at the polls, but in our hearts",Democrat,[],"['Trump', 'Trump', 'Trump']"
"Get out and vote against fascism today. 

  @HillaryClinton @HillaryforFL  https://t.co/zU6ZlXVgu7",get out and vote against fascism today.      hillaryclinton  hillaryforfl  ,Democrat,"['Clinton', 'Hillary', 'Hillary']",['Trump']
"Other than INNUENDO and MALICIOUS SPECULATION what evidence does  have 2 Support this claim  belongs in Jail""  ",other than innuendo and malicious speculation what evidence does  have 2 support this claim  belongs in jail   ,Democrat,['hillary'],['trump']
" crowd...SCOTUS hangs in the balance. 

All Aboard: Ted Cruz Officially Joins the Trump Train.  https://t.co/THfLuCsmWR", crowd...scotus hangs in the balance.   all aboard: ted cruz officially joins the trump train.  ,Democrat,[],"['Trump', 'Trump', 'Trump']"
"Please, save the world today  ","please, save the world today  ",Democrat,[],['Trump']
"""There are people who, when Hillary Clinton becomes the first woman to be POTUS, will weep from joy."" https://t.co/kqF7aOrVn7 "," there are people who, when hillary clinton becomes the first woman to be potus, will weep from joy.   ",Democrat,"['Clinton', 'Hillary']",[]
Anti-Hate Group Condemns Donald Trump's Closing Ad https://t.co/PY6Um5KRfF     https://t.co/KXnUHjGkPp,anti-hate group condemns donald trump s closing ad      ,Democrat,[],"['Trump', 'Donald']"
Everyone pissed at @LilTunechi and @iamkevingates for what they said about  but ain't mad at trump,everyone pissed at  liltunechi and  iamkevingates for what they said about  but ain t mad at trump,Democrat,[],['trump']
"Hmmmm...Glenn Beck says he supports  thinks Trump is ""unhinged"" https://t.co/rnEDCnJq0I via @HuffPostPol",hmmmm...glenn beck says he supports  thinks trump is  unhinged   via  huffpostpol,Democrat,[],['Trump']
LORD JESUS PROTECT HILLARY CLINTON. BLESS HER AS 45TH POTUS.  @HillaryClinton    https://t.co/13WgW12VFs,lord jesus protect hillary clinton. bless her as 45th potus.   hillaryclinton    ,Democrat,"['CLINTON', 'Clinton', 'Clinton', 'Clinton', 'HILLARY', 'Hillary', 'Hillary', 'Kaine']",[]
"Dear FL, please stay blue, I have high hopes for you ☀️️    https://t.co/XYuxhQ6UIU","dear fl, please stay blue, i have high hopes for you        ",Democrat,[],[]
Looks like some voters need a reminder of who is the most untrustworthy - https://t.co/k2HZV0NXQM  @DLoIndustries @EmilySilver29,looks like some voters need a reminder of who is the most untrustworthy -    dloindustries  emilysilver29,Democrat,[],['Trump']
Trump is just not my type for president; Distracted and accusive.   ,trump is just not my type for president; distracted and accusive.   ,Democrat,[],['Trump']
Why millions of Americans will vote for Clinton with enthusiasm:  https://t.co/iYObhwfnfo,why millions of americans will vote for clinton with enthusiasm:  ,Democrat,['Clinton'],[]
        ,        ,Democrat,['Clinton'],"['Trump', 'Trump', 'Trump', 'Trump', 'Trump', 'Trump', 'Trump', 'Trump']"
A president Donald Trump will appoint Supreme Court justices that will overturn the right of gays to marry.   ,a president donald trump will appoint supreme court justices that will overturn the right of gays to marry.   ,Democrat,[],"['Trump', 'trump', 'Donald']"
SFL4Hillary: RT jwowkony: Russian Eyes are Smiling https://t.co/jYm7fLeGMJ via redbubble    ,sfl4hillary: rt jwowkony: russian eyes are smiling  via redbubble    ,Democrat,['Hillary'],"['Trump', 'trump', 'trump']"
 goes to the only qualified candidate this election year.   , goes to the only qualified candidate this election year.   ,Democrat,['Hillary'],[]
"it's finally Nov., week till election, elect already, can't stand this, incredibly nervous ","it s finally nov., week till election, elect already, can t stand this, incredibly nervous ",Democrat,[],[]
What To Do If Trump Thugs Try To Intimidate You On Election Day https://t.co/wyIFHFjJNG ,what to do if trump thugs try to intimidate you on election day  ,Democrat,[],['Trump']
Final @HillaryClinton rally pre- today at 7:30! RSVP: https://t.co/ZsiHQoe7gY    ,final  hillaryclinton rally pre- today at 7:30  rsvp:     ,Democrat,"['Clinton', 'Hillary']",[]
"Once more before the election: my parody of an old country song. This is called ""If We Make it to November""   https://t.co/EU51RH2zMn",once more before the election: my parody of an old country song. this is called  if we make it to november    ,Democrat,[],['Trump']
If it was that easy🍸🇱🇷    ✔️   🙋🏼… https://t.co/l4fbLv4jAw,if it was that easy                ,Democrat,[],[]
       https://t.co/NlZdVMVekK,       ,Democrat,"['clinton', 'Clinton', 'clinton', 'Hillary']",[]
Spiegel EDITORIAL:   Is   https://t.co/3UjzCjWlnl     ,spiegel editorial:   is        ,Democrat,[],"['Trump', 'Trump', 'Republicans', 'Republican']"
 - https://t.co/D0n9C7VmtH Third-party voters are “trading votes” with Clinton voters to defeat Trump, -  third-party voters are  trading votes  with clinton voters to defeat trump,Democrat,['Clinton'],"['Trump', 'Trump']"
"My final piece on the election is up. ""Clinton's Toil or Trump Trouble?""    https://t.co/hgGrTGmikl",my final piece on the election is up.  clinton s toil or trump trouble      ,Democrat,['Clinton'],"['Trump', 'Trump']"
Weird Trump quotes to catchy music.  Twitter cuts vids short- rest on FB: https://t.co/XCD0slwlbU https://t.co/tiGcxf3H57,weird trump quotes to catchy music.  twitter cuts vids short- rest on fb:  ,Democrat,[],"['Trump', 'Trump']"
Everyone must read @kurteichenwald's tweetstorm yesterday. He uncovered so much on Trump this year.   ,everyone must read  kurteichenwald s tweetstorm yesterday. he uncovered so much on trump this year.   ,Democrat,['Hillary'],['Trump']
"NEVER TRUMP
  
 https://t.co/jvpTBE8T4z",never trump     ,Democrat,[],"['TRUMP', 'Trump']"
Pls don't vote for trump bc my fam will get deported ,pls don t vote for trump bc my fam will get deported ,Democrat,[],['trump']
"Donald Trump vs. American Democracy.
  
 https://t.co/8IMc3PCoSM",donald trump vs. american democracy.     ,Democrat,['Hillary'],"['Trump', 'Donald']"
"White male  supporters are nervous because they are becoming redundant...Women &amp; minorities will be ruling the roost!
",white male  supporters are nervous because they are becoming redundant...women and; minorities will be ruling the roost  ,Democrat,[],"['Trump', 'Trump', 'pence']"
This month I am turning 40 and even that takes a backseat to this election.  ,this month i am turning 40 and even that takes a backseat to this election.  ,Democrat,[],['Trump']
"From my professional exp, she is flipping out right now. They have no prepared speech     ","from my professional exp, she is flipping out right now. they have no prepared speech     ",Democrat,"['clinton', 'hillary', 'Hillary']",[]
"To Hillary Clinton, thank you for the compassion you showed to all Americans   ","to hillary clinton, thank you for the compassion you showed to all americans   ",Democrat,"['Clinton', 'Clinton', 'Hillary', 'Hillary', 'Hillary']",[]
"Following Alex Jones, Prison Planet, Gateway Pundit, and cheering Trump; or being a Twitter Nazi are the same 
","following alex jones, prison planet, gateway pundit, and cheering trump; or being a twitter nazi are the same  ",Democrat,[],"['Trump', 'Trump']"
"If Trump wins, California should consider seceding from the Union. President @HillaryClinton would be welcome here. ","if trump wins, california should consider seceding from the union. president  hillaryclinton would be welcome here. ",Democrat,"['Clinton', 'Hillary']",['Trump']
Kids pick Clinton over Trump in nationwide mock election https://t.co/krR49BrpDk via @USATODAY ,kids pick clinton over trump in nationwide mock election  via  usatoday ,Democrat,['Clinton'],['Trump']
FBI Director Comey   https://t.co/IeuZZMbdPd,fbi director comey   ,Democrat,[],['trump']
Though you'd think Trump would have plenty of experience dealing with voracious rats. Even identify with them. Just saying. ,though you d think trump would have plenty of experience dealing with voracious rats. even identify with them. just saying. ,Democrat,[],"['Trump', 'Trump']"
Conway on  on @TheView Joy: 'you must be delusional' when she was talking about nuclear weapons   https://t.co/uAN9xBQQEI,conway on  on  theview joy:  you must be delusional  when she was talking about nuclear weapons   ,Democrat,[],"['trump', 'Trump']"
I already voted -- what about you? Election Day is SO close. Make a plan to vote here: https://t.co/nwD4Ql7ITn  ,i already voted -- what about you  election day is so close. make a plan to vote here:   ,Democrat,[],[]
"Clinton CA$H     via @YouTube
  https://t.co/8l9uj0QwEW",clinton ca$h     via  youtube   ,Democrat,"['Clinton', 'Hillary']",[]
" 
 
 
 

https://t.co/5iZo9o5Gnw",         ,Democrat,[],[]
😂😂😂   or Dolores Trump. https://t.co/6emnr5pomS,      or dolores trump. ,Democrat,[],['Trump']
"George, the nurse, communicated that Trump is a scunner. ","george, the nurse, communicated that trump is a scunner. ",Democrat,[],"['Trump', 'Trump']"
Trump throws a final Hail Mary to  in Charlotte: https://t.co/Y346vFjjJv @LeonKaye  ,trump throws a final hail mary to  in charlotte:   leonkaye  ,Democrat,[],['Trump']
https://t.co/e20FvbVeWy  will stay this was rigged too.Our kids are smart and know what's best for US   ,  will stay this was rigged too.our kids are smart and know what s best for us   ,Democrat,['hillary'],"['trump', 'trump']"
"Today knocking doors Marsha met 7 future voters, one for each of the 7 days left of the election    https://t.co/RjOaRCELdx","today knocking doors marsha met 7 future voters, one for each of the 7 days left of the election    ",Democrat,['Hillary'],[]
Using my fall break to campaign for Hillary Clinton!!!!! ,using my fall break to campaign for hillary clinton      ,Democrat,"['Clinton', 'Hillary']",[]
Here's a statement we can ALL agree with: I AM READY FOR THIS ELECTION TO BE OVER.      ,here s a statement we can all agree with: i am ready for this election to be over.      ,Democrat,[],"['trump', 'trump']"
Awesome to see Bruce @Springsteen at rally for Hillary Clinton tonight. He articulated the importance of the election perfectly. ,awesome to see bruce  springsteen at rally for hillary clinton tonight. he articulated the importance of the election perfectly. ,Democrat,"['Clinton', 'Hillary']",[]
        ,        ,Democrat,['Clinton'],"['Trump', 'Trump', 'Trump', 'Trump', 'Trump', 'Trump', 'Trump']"
We voted! Making history    https://t.co/Nl56gA3gFM,we voted  making history    ,Democrat,[],[]
               https://t.co/4We7oUssQB,               ,Democrat,"['Clinton', 'Hillary']",['Trump']
"Dixville Notch New Hampshire votes are in. 

Clinton 4
Trump 2
Johnson 1
Write in Romney 1

",dixville notch new hampshire votes are in.   clinton 4 trump 2 johnson 1 write in romney 1  ,Democrat,['Clinton'],['Trump']
https://t.co/Unj7TRCL3y       ,       ,Democrat,[],[]
Watch Trump Drop The F-Bomb 5 Times In 74 Seconds https://t.co/WTcfWj39pf      ,watch trump drop the f-bomb 5 times in 74 seconds       ,Democrat,[],"['Trump', 'trump', 'gop']"
If you don’t  don’t complain.          https://t.co/QQ5UKZZe0B,if you don t  don t complain.          ,Democrat,[],[]
Funny Trump quotes to funky music.  Twitter cuts vids short- whole thing on FB: https://t.co/ti90OkqqRb https://t.co/k1LfjtY5tt,funny trump quotes to funky music.  twitter cuts vids short- whole thing on fb:  ,Democrat,[],['Trump']
"Clinton Still Leads a Tighter Race,Times/CBS Mrs.Clinton holds a 14-point advantage over opponent among women Come on ladies! ","clinton still leads a tighter race,times/cbs mrs.clinton holds a 14-point advantage over opponent among women come on ladies  ",Democrat,"['Clinton', 'Clinton']",['Trump']
.@RBReich: Don't Panic. Stay Active. Clinton Should Win. Aftermath Will Be Very Difficult. https://t.co/yV6YEVitUv   https://t.co/KAhLpYULl2,. rbreich: don t panic. stay active. clinton should win. aftermath will be very difficult.    ,Democrat,['Clinton'],[]
Vote!!    @nikkimcclure @HillaryClinton @POTUS @TheDemocrats https://t.co/icq4B5ZAfu,vote       nikkimcclure  hillaryclinton  potus  thedemocrats ,Democrat,"['Clinton', 'Hillary', 'Hillary', 'Democrats', 'Democrat']",[]
"No matter what the election results this evening, there's going to be a serious amount of hangovers tomorrow.  ","no matter what the election results this evening, there s going to be a serious amount of hangovers tomorrow.  ",Democrat,[],[]
Nevada Trump protester: I was beaten for holding a 'Republicans against Trump' sign. The Guardian   https://t.co/ZqTTmeBFrk,nevada trump protester: i was beaten for holding a  republicans against trump  sign. the guardian   ,Democrat,[],"['Trump', 'Trump', 'Trump', 'Republicans', 'Republican']"
🙏🏻🇱🇷     https://t.co/9xO0Ndt6iV,         ,Democrat,"['clinton', 'hillary']",[]
"A Trump presidency is a loss for science, a loss for women's health, and a loss for diversity. ","a trump presidency is a loss for science, a loss for women s health, and a loss for diversity. ",Democrat,[],['Trump']
"""Once Fascists get power, they never give it up. It'll be President Trump for life."" ~ @billmaher    "," once fascists get power, they never give it up. it ll be president trump for life.     billmaher    ",Democrat,[],"['Trump', 'Trump']"
We are LOVING these baby Hillary Clintons.  https://t.co/rQmtbhZ5Pk,we are loving these baby hillary clintons.  ,Democrat,"['Clinton', 'Hillary']",[]
Will Melania Trump touch on her husband saying he walked in on 15yr olds while they were dressing. That's what I wanna know. ,will melania trump touch on her husband saying he walked in on 15yr olds while they were dressing. that s what i wanna know. ,Democrat,[],"['Trump', 'Trump']"
"""Never Say  GOP Support For Donald Is Strong And Growing"" https://t.co/4pwq8uynUW", never say  gop support for donald is strong and growing  ,Democrat,[],"['Trump', 'Donald', 'GOP']"
We need to bury  but also his brand and those of his children to send a message that this fuckery will not be tolerated. ,we need to bury  but also his brand and those of his children to send a message that this fuckery will not be tolerated. ,Democrat,[],['Trump']
"Historic black church torched + ""Vote Trump"" spray painted on it. This is the violence against POC @realdonaldtrump inspires.  https://t.co/SaZpeGVMf5",historic black church torched    vote trump  spray painted on it. this is the violence against poc  realdonaldtrump inspires.  ,Democrat,[],"['Trump', 'trump', 'donald']"
"I know people who moved to   already -sad, but they dont want to raise children where theres a  America  ","i know people who moved to   already -sad, but they dont want to raise children where theres a  america  ",Democrat,[],['Trump']
Comey emails to Guilaini discovered before release of letter to Congress.  FBI rigging election.  ,comey emails to guilaini discovered before release of letter to congress.  fbi rigging election.  ,Democrat,[],"['Trump', 'Donald']"
"all my family votin for trump, actin like we didn't come from mexican immigrants 🙄 ","all my family votin for trump, actin like we didn t come from mexican immigrants   ",Democrat,[],['trump']
"Trump and his supporters want to take America back to the 1950s. Been there, done that. Time to move forward with HRC. ","trump and his supporters want to take america back to the 1950s. been there, done that. time to move forward with hrc. ",Democrat,[],['Trump']
VOTE VOTE VOTE!!    ,vote vote vote      ,Democrat,[],[]
Virginia and Florida wtf are you doing??? Que desespero ver o Trump ganhando nesses estados  ,virginia and florida wtf are you doing    que desespero ver o trump ganhando nesses estados  ,Democrat,[],['Trump']
"These bused in Clinton DOJ  rioters, their rhetoric against Trump is made up.. by DNC.. Obama/Clinton Bird-Dogging revenge","these bused in clinton doj  rioters, their rhetoric against trump is made up.. by dnc.. obama/clinton bird-dogging revenge",Democrat,"['Clinton', 'Clinton', 'DNC', 'Obama']",['Trump']
"Election 2016🇺🇸
 https://t.co/Wa3AvdFb7h",election 2016    ,Democrat,[],[]
